epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3025.72,1.78241,2.28823,2.15357,0.60583,0.23613,0.24257,0.11722,1.95886,2.33703,2.67142,0.000848969,0.000848969,0.000848969
43,3098.29,1.86313,2.41174,2.21938,0.50389,0.25442,0.2511,0.13383,1.90916,2.36397,2.62534,0.000834822,0.000834822,0.000834822
44,3170.76,1.81328,2.36265,2.17556,0.24228,0.35132,0.29409,0.14454,1.93912,2.32642,2.66874,0.000820675,0.000820675,0.000820675
45,3243.35,1.73478,2.30534,2.06149,0.20838,0.32055,0.25022,0.11995,1.97852,2.30082,2.66708,0.000806528,0.000806528,0.000806528
46,3316.05,1.72703,2.17509,2.11989,0.34657,0.36927,0.29337,0.14497,1.89138,2.27387,2.58179,0.00079238,0.00079238,0.00079238
47,3388.57,1.75982,2.31429,2.1062,0.35532,0.3172,0.29325,0.14402,1.9432,2.33343,2.63613,0.000778233,0.000778233,0.000778233
48,3461.28,1.80127,2.35997,2.20945,0.27714,0.27904,0.25243,0.12664,1.90018,2.27604,2.60293,0.000764086,0.000764086,0.000764086
49,3533.77,1.6817,2.21407,2.13719,0.3388,0.31856,0.28953,0.14657,1.91437,2.30818,2.66425,0.000749939,0.000749939,0.000749939
50,3606.37,1.7501,2.27594,2.15074,0.23191,0.31807,0.2524,0.12949,2.02117,2.27972,2.74436,0.000735792,0.000735792,0.000735792
51,3678.97,1.78155,2.27211,2.14536,0.51261,0.27806,0.27677,0.13813,1.86892,2.17415,2.6002,0.000721645,0.000721645,0.000721645
52,3751.44,1.71434,2.2799,2.11028,0.26337,0.37082,0.24947,0.12008,1.9597,2.24228,2.69096,0.000707498,0.000707498,0.000707498
53,3823.85,1.66341,2.23519,2.01892,0.24393,0.29955,0.26524,0.13558,1.93982,2.25142,2.61589,0.000693351,0.000693351,0.000693351
54,3896.42,1.62645,2.22486,2.01487,0.26265,0.35958,0.28375,0.15277,1.91955,2.18518,2.59314,0.000679204,0.000679204,0.000679204
55,3969.06,1.75564,2.27959,2.12446,0.28074,0.27639,0.28634,0.14006,1.9108,2.24256,2.64551,0.000665057,0.000665057,0.000665057
56,4041.69,1.69493,2.23085,2.11749,0.2355,0.39646,0.30012,0.14574,1.90894,2.17378,2.63137,0.000650909,0.000650909,0.000650909
57,4114.26,1.74208,2.20576,2.0805,0.34667,0.33272,0.33174,0.16334,1.93354,2.28509,2.6663,0.000636762,0.000636762,0.000636762
58,4187.04,1.73808,2.24571,2.09514,0.29143,0.36256,0.29164,0.14121,1.9405,2.25982,2.64829,0.000622615,0.000622615,0.000622615
59,4259.59,1.69788,2.1449,2.08728,0.3083,0.36616,0.32821,0.16834,1.97123,2.11875,2.66014,0.000608468,0.000608468,0.000608468
60,4332.29,1.65993,2.06183,2.04696,0.26837,0.3862,0.29762,0.15859,1.90118,2.13134,2.60624,0.000594321,0.000594321,0.000594321
61,4404.88,1.66898,2.19785,2.0818,0.33818,0.34893,0.30575,0.1708,1.8769,2.26007,2.58241,0.000580174,0.000580174,0.000580174
62,4477.56,1.71049,2.15787,2.01793,0.24444,0.36183,0.27702,0.13515,1.99704,2.18695,2.69282,0.000566027,0.000566027,0.000566027
63,4550.15,1.65335,2.13105,2.04048,0.54866,0.29145,0.27798,0.13581,2.01541,2.28209,2.71233,0.00055188,0.00055188,0.00055188
64,4622.91,1.74761,2.1334,2.16333,0.30837,0.36007,0.29188,0.14845,1.9083,2.08984,2.63151,0.000537733,0.000537733,0.000537733
65,4695.46,1.6918,2.14334,2.08532,0.30317,0.38107,0.30875,0.16818,1.86315,2.11246,2.61128,0.000523586,0.000523586,0.000523586
66,4768.05,1.72817,2.0909,2.12265,0.28827,0.35543,0.28372,0.15013,1.93835,2.17647,2.65508,0.000509438,0.000509438,0.000509438
67,4840.63,1.60482,1.95882,1.97243,0.26739,0.39231,0.29968,0.15862,1.89979,2.16078,2.63087,0.000495291,0.000495291,0.000495291
68,4913.25,1.67048,2.07179,2.07286,0.29195,0.38561,0.32496,0.17246,1.92936,2.16735,2.6849,0.000481144,0.000481144,0.000481144
69,4986.05,1.67873,2.10618,2.0947,0.28249,0.40008,0.31072,0.16899,1.93141,2.16965,2.6541,0.000466997,0.000466997,0.000466997
70,5058.56,1.68358,2.13171,2.0872,0.23006,0.40168,0.31579,0.16892,1.90213,2.07406,2.65307,0.00045285,0.00045285,0.00045285
71,5131.16,1.65918,2.06431,2.05884,0.36931,0.35543,0.31319,0.17208,1.91061,2.14079,2.62419,0.000438703,0.000438703,0.000438703
72,5203.72,1.65197,2.15458,2.07122,0.29242,0.4072,0.32741,0.16634,1.89979,2.09682,2.62137,0.000424556,0.000424556,0.000424556
73,5276.25,1.55289,1.99957,1.94978,0.27426,0.36105,0.29713,0.15718,1.91737,2.18924,2.63215,0.000410409,0.000410409,0.000410409
74,5348.9,1.6738,2.0442,2.09705,0.23506,0.45349,0.30514,0.15751,1.93269,2.02509,2.67275,0.000396262,0.000396262,0.000396262
75,5421.41,1.57203,1.95178,2.02893,0.27952,0.37643,0.32271,0.17586,1.93935,2.17579,2.66059,0.000382115,0.000382115,0.000382115
76,5494.07,1.6515,2.00607,2.06404,0.26022,0.41282,0.31539,0.16867,1.91033,2.06819,2.65525,0.000367967,0.000367967,0.000367967
77,5566.6,1.63535,2.04429,2.0332,0.32042,0.39695,0.31834,0.17711,1.88514,2.10251,2.63983,0.00035382,0.00035382,0.00035382
78,5639.31,1.53864,2.00795,1.92793,0.29455,0.3612,0.31644,0.17857,1.84662,2.07412,2.57167,0.000339673,0.000339673,0.000339673
79,5712.08,1.64527,1.94061,2.07678,0.21088,0.36771,0.3087,0.16575,1.91451,2.01281,2.62946,0.000325526,0.000325526,0.000325526
80,5784.63,1.61933,1.98533,2.00189,0.25422,0.36706,0.31717,0.16742,1.9486,2.1025,2.70484,0.000311379,0.000311379,0.000311379
81,5857.11,1.58471,1.95714,2.0016,0.26654,0.40472,0.29921,0.16466,1.87822,2.10561,2.59457,0.000297232,0.000297232,0.000297232
82,5929.71,1.5126,1.85175,1.89194,0.27226,0.39231,0.29949,0.16014,1.86997,2.19001,2.59715,0.000283085,0.000283085,0.000283085
83,6002.25,1.56312,2.00132,1.97886,0.29175,0.38427,0.31421,0.1584,1.91597,2.05004,2.66265,0.000268938,0.000268938,0.000268938
84,6074.82,1.546,1.87995,1.99576,0.27763,0.40008,0.31208,0.17247,1.90022,2.05244,2.61026,0.000254791,0.000254791,0.000254791
85,6147.53,1.65341,1.97061,2.046,0.24246,0.40208,0.31022,0.17321,1.88996,2.02999,2.61373,0.000240644,0.000240644,0.000240644
86,6220.09,1.54463,1.89188,1.98361,0.26546,0.43668,0.32302,0.1766,1.89004,2.08421,2.59924,0.000226497,0.000226497,0.000226497
87,6292.67,1.56678,1.83954,1.99856,0.26371,0.47399,0.31345,0.17119,1.88978,2.07302,2.61954,0.000212349,0.000212349,0.000212349
88,6365.19,1.52348,1.89227,1.93846,0.2572,0.44208,0.32625,0.1725,1.94338,2.11941,2.68841,0.000198202,0.000198202,0.000198202
89,6437.8,1.58962,1.90267,1.98642,0.28695,0.44457,0.32598,0.17321,1.93136,2.08463,2.65398,0.000184055,0.000184055,0.000184055
90,6510.27,1.53327,1.88721,1.9667,0.26158,0.48374,0.31981,0.17138,1.92124,2.0926,2.67518,0.000169908,0.000169908,0.000169908
91,6583.93,1.42419,1.76298,1.88125,0.2733,0.42837,0.31509,0.17663,1.90119,2.11937,2.60627,0.000155761,0.000155761,0.000155761
92,6656.42,1.38969,1.74313,1.85749,0.2371,0.41662,0.31242,0.17706,1.91377,2.01804,2.6665,0.000141614,0.000141614,0.000141614
93,6729.01,1.41111,1.71429,1.87267,0.24102,0.42657,0.32311,0.18267,1.88787,2.04508,2.62384,0.000127467,0.000127467,0.000127467
94,6801.83,1.41279,1.72667,1.87077,0.23608,0.46573,0.32555,0.17922,1.89472,2.05732,2.65503,0.00011332,0.00011332,0.00011332
95,6874.6,1.45139,1.70668,1.92848,0.24493,0.49137,0.32759,0.18186,1.88645,2.04194,2.63554,9.91726e-05,9.91726e-05,9.91726e-05
96,6946.98,1.40818,1.69795,1.88796,0.23663,0.43398,0.31116,0.17784,1.89046,2.07038,2.61446,8.50255e-05,8.50255e-05,8.50255e-05
97,7019.5,1.4066,1.71001,1.85448,0.28438,0.42357,0.31518,0.17586,1.89158,2.04632,2.64772,7.08784e-05,7.08784e-05,7.08784e-05
98,7091.96,1.46752,1.74145,1.9504,0.26746,0.43382,0.31992,0.18273,1.87427,2.02358,2.61715,5.67313e-05,5.67313e-05,5.67313e-05
99,7164.38,1.34637,1.64086,1.84663,0.27032,0.39187,0.31338,0.18097,1.8783,2.0377,2.61425,4.25842e-05,4.25842e-05,4.25842e-05
100,7236.8,1.36142,1.64904,1.81836,0.26395,0.41795,0.31359,0.17991,1.88015,2.02762,2.6281,2.84371e-05,2.84371e-05,2.84371e-05
